id,user_id,weight,reps,exercise_session_id
420,1,0,0,105
421,1,210,3,106
422,1,240,3,106
423,1,290,7,106
424,1,0,0,106
425,1,95,3,107
426,1,110,3,107
427,1,120,8,107
428,1,0,0,107
429,1,250,3,108
430,1,280,3,108
431,1,325,5,108
432,1,0,0,108
433,1,190,5,109
434,1,220,3,109
435,1,245,3,109
436,1,0,0,109
437,1,240,5,110
438,1,270,3,110
439,1,305,6,110
440,1,0,0,110
441,1,100,5,111
442,1,115,3,111
443,1,130,6,111
444,1,0,0,111
445,1,270,5,112
446,1,305,3,112
447,1,340,3,112
448,1,0,0,112
449,1,105,5,113
450,1,130,5,113
451,1,155,5,113
452,1,0,0,113
453,1,130,5,114
454,1,160,5,114
455,1,190,5,114
456,1,0,0,114
457,1,55,5,115
458,1,70,5,115
459,1,80,5,115
460,1,0,0,115
461,1,145,5,116
462,1,180,5,116
463,1,215,5,116
464,1,0,0,116
465,1,175,5,117
466,1,200,5,117
467,1,225,6,117
468,1,0,0,117
469,1,220,5,118
470,1,255,5,118
471,1,285,6,118
472,1,0,0,118
473,1,95,5,119
474,1,110,5,119
475,1,120,8,119
476,1,0,0,119
477,1,245,5,120
478,1,285,5,120
479,1,320,6,120
480,1,0,0,120
481,1,185,3,121
482,1,210,3,121
483,1,240,5,121
484,1,0,0,121
485,1,285,3,122
486,1,225,3,122
487,1,305,3,122
488,1,0,0,122
489,1,100,3,123
490,1,115,3,123
491,1,130,6,123
492,1,0,0,123
493,1,265,3,124
494,1,300,3,124
495,1,340,4,124
496,1,0,0,124
497,1,200,5,125
498,1,225,3,125
499,1,250,4,125
500,1,0,0,125
501,1,255,5,126
502,1,285,3,126
503,1,320,2,126
504,1,0,0,126
505,1,110,5,127
506,1,120,3,127
507,1,135,4,127
508,1,0,0,127
509,1,285,5,128
510,1,320,3,128
511,1,360,1,128
512,1,0,0,128
513,1,105,5,129
514,1,135,5,129
515,1,160,5,129
516,1,0,0,129
517,1,135,5,130
518,1,170,5,130
519,1,205,5,130
520,1,0,0,130
521,1,60,5,131
522,1,70,5,131
523,1,85,5,131
524,1,0,0,131
525,1,150,5,132
526,1,190,5,132
527,1,225,5,132
528,1,0,0,132
529,1,180,5,133
530,1,205,5,133
